﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿자살|Suicide
허사|expletives
한문 학습 자전|classical Chinese dictionary for learners
한문교육용 기초한자 1,800자|education Hanja set 1,800 characters
표제자|title word
﻿﻿﻿한문교육|劃數
漢文敎育|한자학습
교육과정|漢字學習
敎育課程|한자쓰기
한문과교육과정,漢文科敎育課程|Korean
교육용한자|Classical Chinese Education
敎育用漢子|Curriculum
점|Curriculum of orean Classical Chinese Education
획|Educational Chinese Character
劃|Dot
필순|Stroke
筆順|Stroke Order
획수|t
﻿﻿﻿﻿﻿﻿﻿스캐폴딩|scaffolding
상호작용|interaction
동료 코칭|peer coaching
IRF 유형|IRF patterns
﻿수행평가|performance assessment
말하기|speaking
쓰기|writing
진정성|authenticity
구인 타당도|construct validity
﻿﻿음독|foral reading
유창성|luency
정확성|accuracy
리터러시|literacy
디벨스|DIBELS
정준상관|correlation
﻿초등 영어|primary school English
낭송극|reader`s theater
동화|story
창의성|creativity
인성|personality
﻿제2언어 동기적 자아체계|L2 motivational self system
제2언어 의사소통의지|WTC
이상적 자아|ideal self
의무적 자아|ought-to self
의사소통능력|communicative competence
구조방정식 모형|structural equation model
﻿문항 난이도 요인|item difficulty factor
쓰기 평가|writing assessment
교사 인식|teacher perceptions
어휘 분석|word analysis
국가영어능력평가시험|National English Ability Test
﻿서사 텍스트|narrative text
설명 텍스트|expository text
영어말하기 능력|English speaking proficiency
﻿글로벌 역량|global competence
측정도구|measurement tool
요인분석|factor analysis
대학생|university students
﻿의사소통 능력|communicative competence
의사소통 기능|communicative functions
필요성|necessity
